name,manager_tenure,inception_date,asset_in_mil,turnover_rates,minimum_investment,load,net_expense_ratio,gross_expense_ratio
Calvert US Large Cap Core Responsible Index Fund Class C (CSXCX),20 years,"$5,061.74",06/30/2000,10%,"$5,000",N,1.24%,1.35%
JPMorgan U.S. Large Cap Core Plus Fund Class A Shares (JLCAX),20 years,"$2,770.52",11/01/2005,85%,"$1,000",Y,1.94%,2.09%
HCM Dividend Sector Plus Fund Investor Class (HCMPX),20 years,"$1,209.47",03/11/2015,2%,"$2,500",N,2.84%,2.84%
Oberweis International Opportunities Fund (OBIOX),20 years,$334.72,02/01/2007,130%,"$2,500",N,1.6%,1.87%
Sequoia Fund (SEQUX),20 years,"$5,033.93",07/15/1970,28%,"$5,000",N,1%,1.09%
Touchstone Large Cap Focused Fund Class Y (SICWX),20 years,"$3,268.96",01/12/1934,16%,"$2,500",N,0.73%,0.86%
HSBC Opportunity Fund Class C (HOPCX),20 years,$101.37,09/03/1996,94%,"$2,500",N,2.4%,8.04%
Matthews China Fund Investor Class (MCHFX),20 years,"$1,553.49",02/19/1998,52.64%,"$2,500",N,1.09%,1.09%
Trillium ESG Global Equity Fund Institutional Class (PORIX),20 years,"$1,045.06",09/30/1999,10%,"$100,000",N,1.03%,1.03%
American Funds The New Economy Fund® Class A (ANEFX),20 years,"$36,052.44",12/01/1983,38%,$250,Y,0.76%,0.76%
Fidelity® Emerging Markets Fund (FEMKX),20 years,"$8,537.45",11/01/1990,37%,$0,N,0.92%,0.92%
BNY Mellon Tax Managed Growth Fund Class C (DPTAX),20 years,$160.17,11/04/1997,9.68%,"$2,500",N,1.95%,1.96%
JPMorgan U.S. GARP Equity Fund Class C (JCICX),20 years,"$1,319.43",02/28/2003,96%,"$1,000",N,1.34%,1.4%
Pax Global Opportunities Fund Institutional Class (PXGOX),20 years,$132.83,06/27/2018,17%,"$250,000",N,0.98%,1.31%
Sit Mid Cap Growth Fund (NBNGX),20 years,$242.78,09/02/1982,19.54%,"$5,000",N,1.26%,1.26%
Timothy Aggressive Growth Fund Class A (TAAGX),20 years,$55.94,10/05/2000,96%,"$2,500",Y,1.72%,1.72%
Parnassus Core Equity Fund - Institutional Shares (PRILX),20 years,"$31,067.46",08/31/1992,37.15%,"$100,000",N,0.62%,0.62%
River Oak Discovery Fund (RIVSX),20 years,$23.70,06/30/2005,48%,"$2,500",N,1.25%,1.45%
American Funds The New Economy Fund® Class F-1 (ANFFX),20 years,"$36,052.44",12/01/1983,38%,$250,N,0.8%,0.8%
Voya Large-Cap Growth Fund Class C (NLCCX),20 years,"$1,454.22",07/21/1997,93%,"$2,500",N,1.71%,1.71%
American Century Sustainable Equity Fund Investor Class (AFDIX),20 years,"$3,869.15",11/30/2004,36%,"$2,500",N,0.79%,0.79%
Natixis Vaughan Nelson Select Fund Class C (VNSCX),20 years,$244.48,06/29/2012,88%,"$2,500",N,1.85%,1.88%
Vulcan Value Partners Fund (VVPLX),20 years,"$2,063.17",12/30/2009,67%,"$5,000",N,1.08%,1.08%
Alger International Focus Fund Class C (ALGCX),20 years,$214.13,07/31/1997,105.22%,"$2,500",N,2.13%,2.13%
Natixis Funds Trust I U.S. Equity Opportunities Fund Class A (NEFSX),20 years,"$1,100.27",07/07/1994,26%,"$2,500",Y,1.17%,1.17%
BMO Mid-Cap Growth Fund Class A (BGMAX),20 years,$21.45,01/31/2008,61%,"$2,500",Y,1.24%,1.34%
Pioneer Select Mid Cap Growth Fund Class C (GOFCX),20 years,"$2,949.89",06/30/1993,83%,"$2,500",N,1.81%,1.81%
Weitz Value Fund Investor Class (WVALX),20 years,"$1,049.86",05/09/1986,14%,"$2,500",N,1.04%,1.04%
Wells Fargo Large Cap Growth Fund - Class C (STOFX),20 years,"$1,247.36",07/30/2010,39%,"$1,000",N,1.82%,1.93%
Brown Advisory Flexible Equity Fund Advisor Shares (BAFAX),20 years,$752.89,11/30/2006,13%,"$2,500",N,0.97%,0.97%
JPMorgan U.S. Research Enhanced Equity Fund Class I (JDESX),20 years,"$5,765.02",09/10/2001,59%,"$1,000,000",N,0.35%,0.58%
Aberdeen U.S. Small Cap Equity Fund Institutional Class (GSCIX),20 years,"$1,195.51",11/02/1998,60.67%,"$1,000,000",N,0.99%,1.1%
Vanguard Mid-Cap Growth Fund Investor Shares (VMGRX),20 years,"$5,290.25",12/31/1997,74%,"$2,500",N,0.34%,0.34%
GQG Partners US Select Quality Equity Fund Institutional Shares (GQEIX),20 years,$797.15,09/28/2018,143%,"$500,000",N,0.49%,0.84%
MainStay WMC Growth Fund Class I (KLGIX),20 years,"$1,003.87",08/07/2006,150%,"$1,000,000",N,0.75%,0.79%
RMB Fund Class C (RMBJX),20 years,$149.17,06/16/1975,29%,"$2,500",N,1.98%,1.98%
BNY Mellon Worldwide Growth Fund Class C (PGRCX),20 years,"$1,038.21",07/15/1993,4.92%,"$2,500",N,1.89%,1.89%
JPMorgan Tax Aware Equity Fund Class C (JPECX),20 years,"$1,439.25",01/30/1997,19%,"$1,000",N,1.46%,1.46%
BNY Mellon Large Cap Securities Inc (DREVX),20 years,"$1,802.94",05/24/1951,44.24%,"$2,500",N,0.71%,0.71%
Thornburg Better World International Fund Class A (TBWAX),20 years,$366.62,09/30/2015,42.87%,"$5,000",Y,1.83%,1.94%
BlackRock Long-Horizon Equity Fund Institutional Shares (MAEGX),20 years,$324.94,11/04/2005,83%,"$2,000,000",N,0.95%,1.04%
Aberdeen U.S. Small Cap Equity Fund Institutional Service Class (GSXIX),20 years,"$1,195.51",11/02/1998,60.67%,"$1,000,000",N,1.12%,1.13%
AMG GW&K Small/Mid Cap Growth Fund - I (ACWIX),20 years,$44.10,11/03/2010,126%,"$100,000",N,0.87%,1.11%
John Hancock ESG Large Cap Core Fund Class A (JHJAX),20 years,$192.45,06/06/2016,30%,"$1,000",Y,1.12%,1.46%
BlackRock Advantage ESG U.S. Equity Fund Institutional Shares (BIRIX),20 years,$565.51,10/05/2015,160%,"$2,000,000",N,0.49%,0.74%
RBC Global Opportunities Fund Class I (RGOIX),20 years,$539.50,12/03/2014,62%,"$100,000",N,0.75%,0.98%
Touchstone Large Cap Focused Fund Class A (SENCX),20 years,"$3,268.96",01/12/1934,16%,"$2,500",Y,1.01%,1.05%
Parnassus Core Equity Fund - Investor Shares (PRBLX),20 years,"$31,067.46",08/31/1992,37.15%,"$2,500",N,0.84%,0.84%
Transamerica Small Cap Growth A (ASGTX),20 years,$276.19,08/31/2012,69%,"$2,500",Y,1.4%,1.42%
Aberdeen International Small Cap Fund Institutional Class (ABNIX),20 years,$306.11,09/30/1996,29.65%,"$1,000,000",N,0.99%,1.3%
Emerald Finance and Banking Innovation Fund - C (HSSCX),20 years,$332.43,02/18/1997,171%,"$2,500",N,2.24%,2.24%
Provident Trust Strategy Fund (PROVX),20 years,$280.29,12/30/1986,14%,"$2,500",N,0.97%,0.97%
Rydex Transportation Fund Class C (RYCNX),20 years,$36.78,04/02/1998,205%,"$2,500",N,2.43%,2.43%
Neuberger Berman Small Cap Growth Fund Class A (NSNAX),20 years,$431.45,10/20/1998,127%,"$2,500",Y,1.27%,1.61%
Goldman Sachs U.S. Equity ESG Fund Class A (GAGVX),20 years,$22.44,11/30/2009,65%,"$1,000",Y,1.02%,3.61%
Tributary Growth Opportunities Fund Institutional Class (FOGRX),20 years,$178.93,04/01/1998,50%,"$2,500",N,1.05%,1.34%
Trillium ESG Global Equity Fund Retail Class (PORTX),20 years,"$1,045.06",09/30/1999,10%,"$5,000",N,1.3%,1.3%
American Century Sustainable Equity Fund A Class (AFDAX),20 years,"$3,869.15",11/30/2004,36%,$250,Y,1.04%,1.04%
Hartford Global Impact Fund Class Y (HGXYX),20 years,$140.46,02/28/2017,85%,"$2,500",N,0.79%,1.12%
Calamos Convertible Fund Class A (CCVIX),20 years,"$1,656.45",06/21/1985,70.7%,"$2,500",Y,1.14%,1.14%
U.S. Global Investors World Precious Minerals Fund (UNWPX),20 years,$98.29,11/27/1985,34%,"$5,000",N,1.83%,1.83%
Nicholas Fund (NICSX),20 years,"$3,840.81",07/14/1969,16.74%,"$2,500",N,0.72%,0.72%
Vanguard Explorer Fund Investor Class (VEXPX),20 years,"$24,667.72",12/11/1967,43%,"$3,000",N,0.41%,0.41%
American Century Focused Global Growth Fund C Class (AGLCX),20 years,$785.42,12/01/1998,73%,$250,N,2.07%,2.07%
Virtus KAR Mid-Cap Core Fund Class C (VMCCX),20 years,"$1,498.60",06/22/2009,19%,"$2,500",N,1.96%,2.1%
Harbor Strategic Growth Fund Institutional Class (MVSGX),20 years,$121.13,11/01/2011,22%,"$50,000",N,0.71%,0.8%
BNY Mellon Large Cap Equity Fund Class A (DLQAX),20 years,$956.42,08/10/1992,30.72%,"$2,500",Y,1.07%,1.07%
AMG GW&K Small/Mid Cap Growth Fund - N (ACWDX),20 years,$44.10,11/03/2010,126%,"$2,500",N,1.01%,1.25%
Franklin Small Cap Growth Fund Class A (FSGRX),20 years,"$4,230.93",05/01/2000,47.8%,"$1,000",Y,1.03%,1.04%
Quantified Market Leaders Fund Investor Class (QMLFX),20 years,$354.30,08/09/2013,568%,"$10,000",N,1.57%,1.57%
Nationwide NYSE Arca Tech 100 Index Fund Class C (NWJDX),20 years,$788.14,06/10/1996,4.82%,"$2,500",N,1.39%,1.39%
PGIM Jennison Blend Fund- Class Z (PEQZX),20 years,"$1,281.66",01/22/1990,70%,"$2,500",N,0.63%,0.63%
MainStay WMC Growth Fund Class A (KLGAX),20 years,"$1,003.87",08/07/2006,150%,"$2,500",Y,1.04%,1.04%
Virtus AllianzGI Water Fund Institutional Class (AWTIX),20 years,"$1,090.90",03/31/2008,28%,"$1,000,000",N,0.93%,1.27%
Hartford Global Impact Fund Class I (HGXIX),20 years,$140.46,02/28/2017,85%,"$5,000",N,0.89%,1.11%
AMG GW&K Small/Mid Cap Fund Class I (GWGIX),20 years,$535.70,06/30/2015,29%,"$100,000",N,0.91%,0.93%
BlackRock Long-Horizon Equity Fund Investor A Shares (MDEGX),20 years,$324.94,11/04/2005,83%,"$1,000",Y,1.2%,1.29%
Bridgeway Small Cap Value Fund (BRSVX),20 years,$437.16,10/31/2003,91%,"$2,500",N,0.94%,1.12%
LKCM Aquinas Catholic Equity Fund (AQEIX),20 years,$63.81,07/11/2005,17%,"$2,500",N,1%,1.51%
Aberdeen U.S. Small Cap Equity Fund Class A (GSXAX),20 years,"$1,195.51",11/02/1998,60.67%,"$2,500",Y,1.39%,1.4%
Goldman Sachs Capital Growth Fund Class A (GSCGX),20 years,"$1,293.95",04/20/1990,47%,"$1,000",Y,1.12%,1.2%
JPMorgan U.S. Large Cap Core Plus Fund Class C Shares (JLPCX),20 years,"$2,770.52",11/01/2005,85%,"$1,000",N,2.44%,2.58%
BlackRock Advantage ESG U.S. Equity Fund Investor A Shares (BIRAX),20 years,$565.51,10/05/2015,160%,"$1,000",Y,0.74%,0.99%
Touchstone Focused Fund Institutional (TFFIX),20 years,"$1,298.14",02/12/1999,18%,"$500,000",N,0.85%,0.94%
Principal Capital Appreciation Fund Institutional Class (PWCIX),20 years,"$2,353.23",11/24/1986,35.4%,"$1,000,000",N,0.51%,0.51%
T. Rowe Price Global Industrials Fund (RPGIX),20 years,$290.24,10/24/2013,58.4%,"$2,500",N,1.05%,1.66%
Sit Small Cap Growth Fund (SSMGX),20 years,$147.65,07/01/1994,30.54%,"$5,000",N,1.51%,1.51%
Fidelity® Stock Selector All Cap Fund (FDSSX),20 years,"$6,391.99",09/28/1990,11%,$0,N,0.63%,0.63%
Putnam Convertible Securities Fund Class C (PRCCX),20 years,"$1,048.37",06/29/1972,98%,"$2,500",N,1.79%,1.79%
Guggenheim StylePlus - Mid Growth Fund Class C (SUFCX),20 years,$117.26,09/17/1969,82%,"$2,500",N,2.42%,2.46%
Pax Global Environmental Markets Fund Institutional Class (PGINX),20 years,"$2,507.90",03/27/2008,26%,"$250,000",N,0.95%,0.95%
TIAA-CREF Social Choice Equity Fund Institutional Class (TISCX),20 years,"$7,655.69",07/01/1999,26%,"$2,000,000",N,0.18%,0.18%
Touchstone Focused Fund Class Y (TFFYX),20 years,"$1,298.14",02/12/1999,18%,"$2,500",N,0.91%,0.91%
Putnam Research Fund Class A (PNRAX),20 years,$510.42,10/02/1995,54%,"$2,500",Y,1.08%,1.08%
Rydex Retailing Fund Class C (RYRCX),20 years,$14.41,04/01/1998,270%,"$2,500",N,2.44%,2.44%
Timothy Plan Large/Mid Cap Growth Fund Class I (TPLIX),20 years,$144.58,10/05/2000,23%,"$100,000",N,1.4%,1.4%
Virtus SGA Global Growth C Class (SGACX),20 years,$180.68,12/31/2010,49%,"$2,500",N,2.14%,2.15%
Yorktown Growth Fund Class L (APITX),20 years,$87.16,06/14/1985,94%,"$2,500",N,1.99%,2.46%
Osterweis Fund (OSTFX),20 years,$190.00,10/01/1993,37%,"$5,000",N,0.95%,0.95%
Invesco Global Fund Class A (OPPAX),20 years,"$13,915.15",12/22/1969,8%,"$1,000",Y,1.06%,1.06%
Calamos Evolving World Growth Fund Class A (CNWGX),20 years,$579.93,08/15/2008,125.4%,"$2,500",Y,1.3%,1.64%
John Hancock Funds Small Cap Growth Fund Class I (JSJIX),20 years,$677.06,10/28/2005,66%,"$250,000",N,1.05%,1.06%
USAA 500 Index Fund Member Shares (USSPX),20 years,"$10,754.05",05/01/1996,5%,"$3,000",N,0.25%,0.25%
Vanguard Large Cap Index Fund Admiral Shares (VLCAX),20 years,"$41,236.12",01/27/2004,3%,"$2,500",N,0.05%,0.05%
Aberdeen International Small Cap Fund Class A (WVCCX),20 years,$306.11,09/30/1996,29.65%,"$2,500",Y,1.35%,1.57%
AMG GW&K Small/Mid Cap Fund Class N (GWGVX),20 years,$535.70,06/30/2015,29%,"$2,500",N,1.09%,1.11%
Fidelity ZEROSM Large Cap Index Fund (FNILX),20 years,"$5,096.19",09/13/2018,9%,$0,N,0.00%,0.00%
Fidelity® Pacific Basin Fund (FPBFX),20 years,"$1,215.13",10/01/1986,41%,$0,N,1.11%,1.11%
CIBC Atlas Equity Income Fund Institutional Class (AWYIX),20 years,$220.22,04/30/2010,10%,"$250,000",N,1.1%,1.1%
Fidelity® Nordic Fund (FNORX),20 years,$421.19,11/01/1995,48%,$0,N,0.96%,0.96%
USAA Extended Market Index Fund (USMIX),20 years,"$1,025.87",10/27/2000,31%,"$3,000",N,0.42%,0.42%
MFS Core Equity Fund Class I (MRGRX),20 years,"$6,288.44",01/02/1996,38%,$0,N,0.73%,0.73%
PGIM Jennison Blend Fund- Class A (PBQAX),20 years,"$1,281.66",01/22/1990,70%,"$2,500",Y,0.92%,0.92%
VanEck International Investors Gold Fund Class Y (INIYX),20 years,$892.00,02/10/1956,32%,"$2,500",N,1.05%,1.05%
Virtus AllianzGI Water Fund Class A (AWTAX),20 years,"$1,090.90",03/31/2008,28%,"$2,500",Y,1.22%,1.49%
"Morgan Stanley Institutional Fund, Inc. Global Concentrated Portfolio Class I (MLNIX)",20 years,$111.86,05/27/2016,54%,"$5,000,000",N,1%,1.81%
Integrity ESG Growth & Income Fund Class I (IGIVX),20 years,$89.66,01/03/1995,11.44%,"$2,500",N,0.99%,1.62%
MainStay WMC Growth Fund Investor Class (KLGNX),20 years,"$1,003.87",08/07/2006,150%,"$2,500",Y,1.34%,1.41%
Loomis Sayles Global Growth Fund Class Y (LSGGX),20 years,$130.32,03/31/2016,44%,"$100,000",N,0.95%,1.14%
Alger Dynamic Opportunities Fund Class Z (ADOZX),20 years,$971.35,11/02/2009,249.71%,"$500,000",N,1.75%,2.47%
Eaton Vance Greater India Fund Class I (EGIIX),20 years,$324.71,05/02/1994,26%,"$2,500",N,1.26%,1.26%
Payson Total Return Fund (PBFDX),20 years,$220.73,11/25/1991,64%,"$2,500",N,0.85%,0.85%
JPMorgan U.S. Sustainable Leaders Fund Class I Shares (JIISX),20 years,$163.08,02/28/2003,99%,"$1,000,000",N,0.39%,0.96%
American Funds The New Economy Fund® Class C (ANFCX),20 years,"$36,052.44",12/01/1983,38%,$250,N,1.52%,1.52%
Timothy Plan Large/Mid Cap Growth Fund Class A (TLGAX),20 years,$144.58,10/05/2000,23%,"$2,500",Y,1.65%,1.65%
Harding Loevner Global Equity Portfolio Institutional Class (HLMVX),20 years,"$1,807.46",11/29/1996,63%,"$100,000",N,0.88%,0.88%
Pax Global Environmental Markets Fund Investor Class (PGRNX),20 years,"$2,507.90",03/27/2008,26%,"$2,500",N,1.2%,1.2%
WesMark Large Company Fund (WMKGX),20 years,$414.79,04/14/1997,27%,"$2,500",N,1.15%,1.15%
Johnson Enhanced Return Fund (JENHX),20 years,$330.83,12/30/2005,96.76%,"$1,000,000",N,0.36%,0.36%
Lazard US Equity Focus Portfolio Institutional Shares (LZUSX),20 years,$78.70,12/30/2004,54%,"$10,000",N,0.7%,1.26%
Pax Global Environmental Markets Fund Class A (PXEAX),20 years,"$2,507.90",03/27/2008,26%,"$2,500",Y,1.2%,1.2%
T. Rowe Price U.S. Equity Research Fund (PRCOX),20 years,"$8,409.28",11/30/1994,35.6%,"$2,500",N,0.45%,0.45%
William Blair Small Cap Growth Fund Class I (WBSIX),20 years,$782.07,12/27/1999,71%,"$500,000",N,1.25%,1.3%
Hartford Global Impact Fund Class A (HGXAX),20 years,$140.46,02/28/2017,85%,"$5,000",Y,1.19%,1.49%
Timothy Plan Israel Common Values Fund Class I (TICIX),20 years,$125.44,10/12/2011,16%,"$100,000",N,1.59%,1.59%
Vanguard Extended Market Index Fund Admiral Shares (VEXAX),20 years,"$115,405.73",12/21/1987,19%,"$2,500",N,0.06%,0.06%
Thornburg Better World International Fund Class C (TBWCX),20 years,$366.62,09/30/2015,42.87%,"$5,000",N,2.38%,3.31%
TIAA-CREF Social Choice Equity Fund Retail Class (TICRX),20 years,"$7,655.69",07/01/1999,26%,"$2,500",N,0.46%,0.46%
Fidelity® Extended Market Index Fund (FSMAX),20 years,"$43,976.81",11/05/1997,13%,$0,N,0.035%,0.035%
Natixis Funds Trust I U.S. Equity Opportunities Fund Class C (NECCX),20 years,"$1,100.27",07/07/1994,26%,"$2,500",N,1.92%,1.92%
Principal Capital Appreciation Fund Class A (CMNWX),20 years,"$2,353.23",11/24/1986,35.4%,"$2,500",Y,0.83%,0.83%
Touchstone Focused Fund Class A (TFOAX),20 years,"$1,298.14",02/12/1999,18%,"$2,500",Y,1.22%,1.22%
John Hancock Funds Small Cap Growth Fund Class A (JSJAX),20 years,$677.06,10/28/2005,66%,"$1,000",Y,1.3%,1.31%
Federated Hermes MDT All Cap Core Fund Institutional Shares (QIACX),20 years,$489.17,10/01/2002,63%,"$25,000",N,0.75%,0.96%
Vanguard Small-Cap Growth Index Fund Admiral Shares (VSGAX),20 years,"$38,664.40",05/21/1998,24%,"$2,500",N,0.07%,0.07%
Wilmington Large-Cap Strategy Fund Class Institutional (WMLIX),20 years,$667.14,07/01/2003,14%,"$100,000",N,0.25%,0.62%
Fidelity® Select Wireless Portfolio (FWRLX),20 years,$455.53,09/21/2000,38%,$0,N,0.79%,0.79%
iShares Russell 1000 Large-Cap Index Fund Institutional Shares (BRGNX),20 years,$787.03,03/31/2011,14%,"$2,000,000",N,0.13%,0.13%
Loomis Sayles Small/Mid Cap Growth Fund Institutional Class (LSMIX),20 years,$84.66,06/30/2015,60%,"$100,000",N,0.85%,1.21%
Fidelity® Select IT Services Portfolio (FBSOX),20 years,"$3,984.95",02/04/1998,30%,$0,N,0.72%,0.72%
City National Rochdale U.S. Core Equity Fund Class Institutional (CNRUX),20 years,$446.34,12/03/2012,14%,"$1,000,000",N,0.57%,0.57%
MFAM Mid Cap Growth Fund Institutional Shares (FOGIX),20 years,$337.03,11/01/2010,14%,"$100,000",N,0.95%,1%
Schwab 1000 Index® Fund (SNXFX),20 years,"$14,218.48",04/02/1991,4%,"$2,500",N,0.05%,0.05%
Aberdeen International Small Cap Fund Class R (WPVAX),20 years,$306.11,09/30/1996,29.65%,"$2,500",N,1.63%,1.85%
Commerce MidCap Growth Fund (CFAGX),20 years,$316.85,12/12/1994,69%,"$2,500",N,0.78%,0.78%
American Century Focused International Growth Fund I Class (AFCSX),20 years,$59.02,03/29/2016,92%,"$5,000,000",N,0.89%,0.89%
Fidelity® Stock Selector Small Cap Fund (FDSCX),20 years,"$2,276.76",06/28/1993,69%,$0,N,1.02%,1.02%
MFS Core Equity Fund Class A (MRGAX),20 years,"$6,288.44",01/02/1996,38%,"$1,000",Y,0.98%,0.98%
Quantified Market Leaders Fund Advisor Class (QMLAX),20 years,$354.30,08/09/2013,568%,"$10,000",N,2.17%,2.17%
T. Rowe Price Health Sciences Fund (PRHSX),20 years,"$20,089.98",12/29/1995,41.7%,"$2,500",N,0.76%,0.76%
Loomis Sayles Global Growth Fund Class A (LSAGX),20 years,$130.32,03/31/2016,44%,"$2,500",Y,1.2%,1.39%
MFS Global Growth Fund Class I (MWOIX),20 years,$858.32,11/18/1993,39%,$0,N,0.97%,1.11%
Integrity ESG Growth & Income Fund Class A (IGIAX),20 years,$89.66,01/03/1995,11.44%,"$2,500",Y,1.24%,1.87%
Harding Loevner Global Equity Portfolio Advisor Class (HLMGX),20 years,"$1,807.46",11/29/1996,63%,"$5,000",N,1.07%,1.07%
Putnam Multi-Cap Core Fund Class A (PMYAX),20 years,"$3,557.56",09/24/2010,46%,"$2,500",Y,0.98%,0.98%
Pear Tree Quality Fund Institutional Shares (QGIAX),20 years,$227.42,05/06/1985,41%,"$1,000,000",N,0.79%,1.27%
Roumell Opportunistic Value Fund Institutional Class (RAMSX),20 years,$141.11,12/31/2010,162.86%,"$2,500",N,1.25%,1.32%
Alger Dynamic Opportunities Fund Class A (SPEDX),20 years,$971.35,11/02/2009,249.71%,"$2,500",Y,2%,2.81%
Gabelli Gold Fund Class I (GLDIX),20 years,$370.12,07/11/1994,9%,"$500,000",N,1.23%,1.23%
Transamerica Small Cap Growth C (CSGTX),20 years,$276.19,08/31/2012,69%,"$2,500",N,2.15%,2.15%
VanEck International Investors Gold Fund Class A (INIVX),20 years,$892.00,02/10/1956,32%,"$2,500",Y,1.34%,1.34%
JPMorgan U.S. Sustainable Leaders Fund Class A Shares (JICAX),20 years,$163.08,02/28/2003,99%,"$1,000",Y,0.64%,1.23%
SEI Institutional Managed Trust Large Cap Index Fund Class F (SLGFX),20 years,"$1,163.76",01/31/2018,8%,"$100,000",N,0.25%,0.64%
Federated Hermes Kaufmann Fund Institutional Shares (KAUIX),20 years,"$8,588.78",02/21/1986,38%,"$1,000,000",N,1.52%,1.55%
Eaton Vance Greater India Fund Class A (ETGIX),20 years,$324.71,05/02/1994,26%,"$2,500",Y,1.56%,1.56%
Vanguard Total Stock Market Index Fund Admiral Shares (VTSAX),20 years,"$1,342,310.79",04/27/1992,8%,"$2,500",N,0.04%,0.04%
William Blair Small Cap Growth Fund Class N (WBSNX),20 years,$782.07,12/27/1999,71%,"$2,500",N,1.5%,1.58%
American Century Sustainable Equity Fund C Class (AFDCX),20 years,"$3,869.15",11/30/2004,36%,$250,N,1.79%,1.79%
AXS Thomson Reuters Private Equity Return Tracker Fund Class I Shares (LDPIX),20 years,$28.21,09/18/2015,78%,"$5,000",N,1.51%,1.78%
Lazard US Equity Focus Portfolio Open Shares (LZUOX),20 years,$78.70,12/30/2004,54%,"$2,500",N,0.95%,1.79%
Timothy Plan Israel Common Values Fund Class A (TPAIX),20 years,$125.44,10/12/2011,16%,"$2,500",Y,1.84%,1.84%
Touchstone Large Cap Focused Fund Class C (SCSCX),20 years,"$3,268.96",01/12/1934,16%,"$2,500",N,1.8%,1.88%
MFAM Mid Cap Growth Fund Investor Shares (TMFGX),20 years,$337.03,11/01/2010,14%,"$2,500",N,1.1%,1.1%
American Funds Growth Portfolio Class A (GWPAX),20 years,"$16,154.97",05/18/2012,30%,$250,Y,0.73%,0.73%
Calamos Convertible Fund Class C (CCVCX),20 years,"$1,656.45",06/21/1985,70.7%,"$2,500",N,1.89%,1.89%
ClearBridge Mid Cap Fund Class I (SMBYX),20 years,"$2,579.84",09/01/1998,31%,"$1,000,000",N,0.85%,0.85%
American Funds Growth Portfolio Class F-1 (GWPFX),20 years,"$16,154.97",05/18/2012,30%,$250,N,0.74%,0.74%
JPMorgan Mid Cap Equity Fund Class I (VSNGX),20 years,"$3,175.13",12/31/1996,54%,"$1,000,000",N,0.89%,1%
Fidelity ZEROSM Total Market Index Fund (FZROX),20 years,"$12,285.18",08/02/2018,4%,$0,N,0.00%,0.00%
Fidelity® Total Market Index Fund (FSKAX),20 years,"$74,888.42",11/05/1997,2%,$0,N,0.015%,0.015%
Franklin Small Cap Growth Fund Class C (FCSGX),20 years,"$4,230.93",05/01/2000,47.8%,"$1,000",N,1.78%,1.79%
LKCM Small-Mid Cap Equity Fund Institutional Class (LKSMX),20 years,$15.16,05/02/2011,76%,"$2,500",N,1%,1.98%
TIAA-CREF Equity Index Fund Institutional Class (TIEIX),20 years,"$35,399.73",07/01/1999,12%,"$2,500",N,0.05%,0.05%
Value Line Mid Cap Focused Fund Institutional Class (VLMIX),20 years,$490.42,03/01/1950,4%,"$100,000",N,0.85%,0.89%
William Blair International Leaders Fund Class I Shares (WILIX),20 years,"$1,315.77",08/16/2012,34%,"$500,000",N,0.9%,1.01%
Aberdeen U.S. Small Cap Equity Fund Class C (GSXCX),20 years,"$1,195.51",11/02/1998,60.67%,"$2,500",N,1.99%,2.1%
Ave Maria Growth Fund (AVEGX),20 years,"$1,069.92",05/01/2003,26%,"$2,500",N,0.92%,0.92%
iShares Russell 1000 Large-Cap Index Fund Investor A Shares (BRGAX),20 years,$787.03,03/31/2011,14%,"$1,000",N,0.38%,0.68%
iShares Total U.S. Stock Market Index Fund Institutional Shares (BITSX),20 years,"$2,697.33",08/13/2015,16%,"$2,000,000",N,0.08%,0.09%
Schwab Total Stock Market Index Fund® (SWTSX),20 years,"$18,226.86",06/01/1999,4%,"$2,500",N,0.03%,0.03%
Eaton Vance Tax-Managed Growth 1.2 Fund Institutional Class (EITGX),20 years,"$1,247.61",02/28/2001,6%,"$2,500",N,0.67%,0.67%
Goldman Sachs Flexible Cap Fund Class A (GALLX),20 years,$39.76,01/31/2008,69%,"$1,000",Y,0.96%,2.35%
